accession,SMILES
BGC0000605,C=C(NC(=O)C(=C)NC(=O)c1csc(-c2ccc3c(n2)-c2csc(n2)-c2csc(n2)C2C(C)CC(O)N2C(=O)C(Cc2ccc(O)cc2)NC(=O)C2CSC(=N2)C(Cc2ccccc2)NC(=O)c2csc(n2)C(CC(N)=O)NC(=O)c2nc-3oc2C)n1)C(=O)O
BGC0000611,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)C(=CC)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(=C)NC(=O)C(C(C)C)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O
BGC0000614,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)C(=CC)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O
BGC0001471,C=C(NC(=O)C(=C)NC(=O)c1csc(C2CCC34NC(=O)C(=C)NC(=O)C(=C)NC(=O)C(=C)NC(=O)C(C)NC5C=Cc6c(C(C)O)cc(nc6C5O)C(=O)OC(C)C(NC(=S)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)C(=CC)NC(=O)C(C(C)O)NC(=O)c5csc3n5)c3nc(cs3)C4N2)n1)C(=O)O
BGC0001474,C=C(NC(=O)C(=C)NC(=O)c1csc(C2CCC34NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)C)NC5C=Cc6c(C(C)O)cc(nc6C5O)C(=O)OC(C)C(NC(=S)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)C(=CC)NC(=O)C(C(C)O)NC(=O)c5csc3n5)c3nc(cs3)C4N2)n1)C(=O)O
BGC0001473,C=C(NC(=O)C(=C)NC(=O)c1csc(C2CCC34NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC5C=Cc6c(C(C)O)cc(nc6C5O)C(=O)OC(C)C(NC(=S)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)C(=CC)NC(=O)C(C(C)O)NC(=O)c5csc3n5)c3nc(cs3)C4N2)n1)C(N)=O
BGC0000509,C=C(NC(=O)C(C)NC(=O)C(C)O)C(=O)NC(C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(=CC)C(=O)NC(=CC)C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC1CSCC(C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(Cc2ccccc2)C(=O)NC2C(=O)NC(CC(C)C)C(=O)NC3C(=O)NC(CSC2C)C(=O)NCC(=O)NC(C(=O)NC(Cc2cnc[nH]2)C(=O)NC(Cc2ccccc2)C(=O)NC(=CC)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)O)CSC3C)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC1=O)C(C)CC)C(C)C)C(C)CC
BGC0000897,C=C(NC(=O)C(CC(C)C)NC(=O)CN)P(=O)(O)OC
BGC0000565,C=C(NC(=O)C(CC(C)C)NC(=O)c1nc(CNC(=O)CNC(=O)C(CO)NC(=O)c2csc(C(CC(C)C)NC(=O)C(NC(=O)c3nc(C(=C)NC(=O)C(NC(=O)c4nc(C(C)NC(C)=O)oc4C)C(C)C)oc3C)C(C)CC)n2)oc1C)c1nc(C(=O)NC(C)C(=O)NCc2nc(C(=O)NC(C(=O)O)C(C)C)cs2)co1
BGC0000506,C=C(NC(=O)C(NC(=O)C(CCCCN)NC(=O)C1CSC(C)C2NC(=O)C(C(C)CC)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(Cc3ccccc3)NC(=O)C3CSC(C)C(NC(=O)C(NC(=O)C4CSC(C)C(NC(=O)C5CSCC(NC(=O)C(CCCCN)NC(=O)C(N)Cc6c[nH]c7ccccc67)C(=O)NC(CCC(=O)O)C(=O)NC(=C)C(=O)NC(C(C)C)C(=O)N5)C(=O)N5CCCC5C(=O)NCC(=O)N4)C(C)C)C(=O)NCC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(=CC)C(=O)N3)C(C)SCC(NC2=O)C(=O)NC(CC(N)=O)C(=O)N1)C(C)CC)C(=O)NC(CCCCN)C(=O)O
