accession,SMILES
BGC0001810,CC=C(C)C(=O)OC1OC(CO)C(OC2OC(CO)C(O)C(OC(=O)C(C)=CC)C2O)C(O)C1O
BGC0001647,CC=C(C)C(O)C(C)C(O)CC=C(C)C=C(C)CC(C)=CCC=C(C)C(O)C(C)c1ccc(C)c(=O)o1
BGC0001169,CC=C(C)C(O)C(C)C=C(C)C=CCC(C)=CCc1[nH]c(OC)c(OC)c(=O)c1C
BGC0001742,CC=C(C)C(O)C(C)C=C(C)C=CCC(C)=CCc1nc(OC)c(OC)c(O)c1C
BGC0001252,CC=C(C)C(O)C(C)C=CC(O)C(C)C(O)CC1CC(O)=CC(=O)O1
BGC0000050,CC=C(C)C(O)C(C)C=CC=C(C)CCC(O)CC1=C(C)C(=O)C(C)(O)O1
BGC0002456,CC=C(C)C(O)C(O)C1C(O)C(O)C(C)CCCCC2OC2(C)C2C3OC3C3CC(C)CC(C)C3C2C(O)=C2C(=O)CN1OC2=O
BGC0002258,CC=C(C)C(O)C1(C)C2C(C)=CC(C)=CC2(C)C1C(C)=CC1(C)C2OC(=O)C1(C)C(=O)C2C
BGC0002538,CC=C(C)C1C(C)=CC2(C)CC(C)CCC2C1C(=O)C1=CC(=Cc2ccccc2)NC1=O
BGC0001600,CC=C(C)C1C(C=CC=C(C)C(O)C(C)CO)C2CC=C(C)CC2C2OC21C
BGC0000072,CC=C(C)C1CC=C(C)C(OC2OC(CO)C(O)C2O)C(OC(=O)CC(C)C)C(=O)CC(O)C(C)C(=O)O1
BGC0001051,CC=C(C)C=C(C)C(O)C(C)C(O)C(O)C1CC=CC=CC(O)CC(O)C(C)c2nc(cs2)C=C(CCCCCC)C(=O)O1
BGC0001268,CC=C(C)C=C(C)C=C(C)C=CC=C(C)C(=O)C12OC1C(O)(CCO)NC2=O
BGC0000992,CC=C(C)C=C(C)C=CC=C(C)C=CC(=O)C1(C)C(=O)NC(Cc2ccc(O)cc2)C1=O
BGC0001342,CC=C(C)C=C(C)CC(C)C(O)C(O)C1CC=CC=CC(O)CC(O)C(CO)c2nc(cs2)C=C(C)C(=O)O1
BGC0001457,CC=C(C)C=CC(=O)NC(C(=O)OC(C)C(C)C(=O)O)C(C)c1ccccc1
BGC0000153,CC=C(C)C=CC=CC(OC)C(C)C(OC)C(C)CCc1oc2c(O)c(OC)cc(OC)c2c(=O)c1C
BGC0002673,CC=C(C)C=CC=CC1C2CC2C2=[N+]1CCCC2
BGC0001254,CC=C(C)CC(C)(O)C(O)C(O)C(=O)NC(C(=O)OC(C=CC=CC=CC(=O)O)C1(C)CO1)C(C)C
BGC0000149,CC=C(C)CC(C)C(O)C(C)C1OC2(CC(OC)C1C)OC(C(C)C(O)C(C)C=CC=CC=CC=CC=CC(CC(=O)O)OC)C(C)CC2O
BGC0000800,CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)COP(=O)([O-])OP(=O)([O-])OC1OC(CO)C(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3OC3OC(C(=O)[O-])C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C2O)C(O)C1O
BGC0001606,CC=C(C)c1ccc(C)c(=O)o1
BGC0001026,CC=C(C=C(C)C=CC=CC=C(C)C(=O)C12OC1C(O)(CCO)NC2=O)C(=O)OC
BGC0002261,CC=C(C=C(C)C=CC=CC=C(C)C(=O)C1C(=O)NC2(O)CCOC12)C(=O)OC
BGC0002169,CC=C(C=C(C)C=CC=CC=C(C)C(=O)C1CC(CO)NC1=O)C(=O)OC
BGC0002558,CC=C(CC)C1=C(CC(CC)CC)C(=O)C(O)(CC)O1
BGC0002155,CC=C(CO)c1cc(OC)c(C)c(=O)o1
BGC0000425,CC=C(N)C(=O)N1CCCC1(C(=O)CC(O)CCCCC)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(=CC)C(=O)NC(C(=O)NC(C(=O)NC(CCO)C(=O)NC(CCN)C(=O)NC(CCCCN)C(=O)O)C(C)CC)C(C)O)C(C)C)C(C)C)C(C)C)C(C)C
BGC0000438,CC=C(N=C(O)CC(O)CCCCCCC)C(=O)N1CCCC1C(O)=NC(C(O)=NC(C)C(O)=NC(C)C(O)=NC(C(O)=NC(CC(C)C)C(O)=NC(C)C(O)=NC(C)C(O)=NC(=CC)C(O)=NC(C(O)=NC(=CC)C(O)=NC(C)C(O)=NC(C(O)=NC(C)C(O)=NC(C)C(O)=NC(=CC)C(O)=NC1C(O)=NC(CO)C(O)=NC(C)C(O)=NC(C(C)C)C(O)=NC(C)C(O)=NC(CCN)C(O)=NC(CCN)C(O)=NC(Cc2ccc(O)cc2)C(=O)OC1C)C(C)C)C(C)C)C(C)C)C(C)C
BGC0001732,CC=C(N=C=S)C(=O)OC1C(COC(C)=O)OC(C2(O)CC(=O)C(N)=C(C(=O)O)C2=O)C(O)C1OC1CC(OC)C(O)C(C)O1
BGC0000523,CC=C(NC(=O)C(C)=O)C(=O)N1CCCC1C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(=O)NC(C)C(=O)NC(C(=O)NC(C)C(=O)NC(CCSC)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSCC(C(=O)NC(Cc2ccccc2)C(=O)NC(CCCCN)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC2CSCC(C(=O)O)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(CCCCN)NC(=O)C(C)NC2=O)NC(=O)CNC(=O)C(C)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC1=O)C(C)C)C(C)O)C(C)C)C(C)C)C(C)C
BGC0000543,CC=C(NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(CC(C)C)NC(=O)C(=CC)NC(=O)C(CCCCN)NC(=O)C(CCC(=O)O)NC(=O)C(CS)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCN)NC(=O)C(NC(=O)C(CS)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(C)NC(=O)C1CCCN1C(=O)CNC(=O)C(C)NC(=O)C(=O)CC)C(C)CC)C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(C(=O)NC(CS)C(=O)NC(CS)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NC(CS)C(=O)NC(CCCCN)C(=O)O)C(C)C)=C(C)S
BGC0001629,CC=C(NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(NC(=O)C(C)NC(=O)C(CO)NC(=O)C(NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(NC(=O)C(NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)CC(O)CCCCCCC)C(C)CC)C(C)C)C(C)C)C(C)C)C(=O)NC1C(=O)NC(C)C(=O)NC(CCN)C(=O)NC(CO)C(=O)NC(Cc2ccccc2)C(=O)OC1C
BGC0000508,CC=C(NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C1CSC(C)C(NC(=O)C2CSCC(NC(=O)C(C)NC(=O)C(N)C(C)CC)C(=O)NC(CCCCN)C(=O)NC(Cc3ccccc3)C(=O)NC(C(C)CC)C(=O)N2)C(=O)N2CCCC2C(=O)NCC(=O)N1)C(=O)NCC(=O)NC1CSCC2NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(CSC=CNC2=O)NC(=O)C(CC(N)=O)NC(=O)C(Cc2ccccc2)NC1=O
BGC0000514,CC=C(NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C1CSC(C)C(NC(=O)C2CSCC(NC(=O)C(C)NC(=O)C(N)C(C)CC)C(=O)NC(CCCCN)C(=O)NC(Cc3ccccc3)C(=O)NC(CC(C)C)C(=O)N2)C(=O)N2CCCC2C(=O)NCC(=O)N1)C(=O)NCC(=O)NC1CSCC2NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(CSC=CNC2=O)NC(=O)C(CC(N)=O)NC(=O)C(Cc2ccccc2)NC1=O
BGC0002319,CC=C(NC(=O)C(CO)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(=CC)NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)C(C)NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)C(C)N(C)C)C(C)C)C(C)CC)C(=O)NC(C(=O)NC1CSC=CNC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC1=O)C(C)CC
BGC0000582,CC=C(NC(=O)C(CO)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(NC(=O)C(=CC)NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)C(C)NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)C(C)N(C)C)C(C)C)C(C)C)C(C)CC)C(=O)NC(C(=O)NC1CSC=CNC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC1=O)C(C)CC
BGC0000583,CC=C(NC(=O)C(CO)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(NC(=O)C(C)NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)C(C)N(C)C)C(C)C)C(C)C)C(C)CC)C(=O)NC(C(=O)NC1CSC=CNC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC1=O)C(C)CC
BGC0000447,CC=C(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)CC(O)CCCCC)C(C)C)C(C)C)C(C)C)C(C)C)C(=O)NC1C(=O)NC(C(C)CC)C(=O)NC(CCO)C(=O)NC(CCN)C(=O)NC(CCCCN)C(=O)OC1C
BGC0001806,CC=C(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)CCCC(=O)O)C(C)C)C(C)C)C(C)C)C(C)C)C(=O)NC1C(=O)NC(C(C)CC)C(=O)NC(CCO)C(=O)NC(CCN)C(=O)NC(CCCCN)C(=O)OC1C
BGC0001532,CC=C(NC(=O)C(O)C(C)CC)C(=O)NC(CC(C)C)C(=O)NC(CCCN)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)NC(CO)C(C)C)C(C)C)C(C)C)C(C)C)C(C)CC
BGC0000528,CC=C(NC(=O)C1CSCC(NC(=O)C(N)CO)C(=O)NC(CO)C(=O)NCC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(C)C)C(=O)N1)C(=O)NC(CC(C)C)C(=O)NC1CCSCC2NC(=O)C(C(C)CC)NC(=O)C(C(C)CC)NC(=O)C(CCSCC(C(=O)NC(CCCNC(=N)N)C(=O)O)NC(=O)C(C)NC2=O)NC(=O)CNC(=O)C(CS)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)CC)NC1=O
BGC0001127,CC=C(NC(=O)CC(O)CCCCCCCCCCC)C(=O)NC1C(=O)NC(C(C)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(=CC)C(=O)NC(CCC(N)=O)C(=O)NCC(=O)NC(C(C)O)C(=O)NC(Cc2cnc[nH]2)C(=O)OC1C
BGC0002111,CC=C(NC(=O)CNC(=O)C(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(C)NC1CC2(CSCC(C(=O)O)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC2=O)NC(=O)C(C(C)CC)NC(=O)C(=CC)NC1=O)C(C)C)C(=O)NC(=CC)C(=O)NC(=CC)C(=O)NC(C(=O)NC(=CC)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(=CC)C(=O)NC(=CC)C(=O)NC(=CC)C(=O)NC(C(=O)NC(=CC)C(=O)NC(C)C(=O)N(C)C)C(C)CC)C(C)C
BGC0000984,CC=C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(C)C(O)C(C)N)C(O)C(=O)O)C(C)O)C(=O)NC(CCCN(O)C=O)C(=O)NC(CO)C(=O)NC(CCCN=C(N)N)C(=O)NC1CCCN(O)C1=O
BGC0002123,CC=C(NC(=O)NC(Cc1ccc(O)cc1)C(=O)O)C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1c1nc(C(=O)NC(CCC(N)=O)C(=O)O)cs1
BGC0002503,CC=C(NC(=O)NC(Cc1ccccc1)C(=O)O)C(=O)NC(CO)C(=O)NC(=CC)C(=O)NC(CO)C(=O)NC(=CC)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C1NC(C(=O)NC(CCSC)C(=O)OC)CS1
BGC0000612,CC=C(NC(=O)c1csc(-c2csc(-c3ccc4c(n3)-c3csc(n3)C(C(C)O)NC(=O)c3csc(n3)C(C(C)(C)O)NC(=O)c3csc(n3)C(=CC)NC(=O)C(C(C)O)NC(=O)c3csc-4n3)n2)n1)C(=O)NCC(C)O
BGC0000607,CC=C(NC(=O)c1csc(-c2csc(-c3ccc4c(n3)-c3csc(n3)C(C(C)O)NC(=O)c3csc(n3)C(C(C)C)NC(=O)c3csc(n3)C(=CC)NC(=O)C(C(C)O)NC(=O)c3csc-4n3)n2)n1)C(=O)NCC(C)O
BGC0001705,CC=C1C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C
BGC0000396,CC=C1C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C
BGC0000812,CC=C1C2C=C(C)CC1(N)c1ccc(O)nc1C2
BGC0000448,CC=C1CC2C(OC)Nc3cc(O)c(OC)cc3C(=O)N2C1
BGC0000877,CC=C1CN(C(=O)C(NC(=O)C(N)C(O)C(O)COC(N)=O)C2OC(n3cc(CO)c(=O)[nH]c3=O)C(O)C2O)C1C(=O)O
BGC0002268,CC=C1COC(O)C2(C)c3c([nH]cc(-c4ccccc4)c3=O)OC12
BGC0001125,CC=C1NC(=O)C(C(C)C)NC(=O)C(O)C(C(C)CCCCCCCCCC(=O)CCCC)NC(=O)C2CCCN2C(=O)C(CC(N)=O)N(C)C(=O)C(C(C)OC)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(C(C)O)NC(=O)C(C(C)O)NC1=O
BGC0000443,CC=C1NC(=O)C(C(C)O)CC(=O)C(Cc2cccc3[nH]ccc23)NC(=O)C(CCO)NC(=O)C(CC(=O)O)NC(=O)C(O)(CCCN)NC(=O)C(NC(=O)CC(O)C(O)CCCCCCCCCCCC)COC(=O)C(C(O)CCl)NC(=O)C(C(O)C(=O)O)NC1=O
BGC0002765,CC=C1NC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCO)NC(=O)CNC(=O)C(CCN)NC(=O)C(NC(=O)CC(O)C(O)CCCCCCCCCCCC)COC(=O)C(C(O)CCl)NC(=O)C(C(O)C(=O)O)NC1=O
BGC0000628,CC=C1NC(=O)C(C(C)O)NC(=O)c2csc(n2)-c2ccc(-c3nc(-c4nc(C(=O)NC(C)C(=O)O)cs4)cs3)nc2-c2csc(n2)C(CSC(=O)c2c[nH]c3ccccc23)NC(=O)C2CSC(=N2)C(C(C)O)NC(=O)c2csc1n2
BGC0001952,CC=C1NC(=O)C(CC(N)=O)NC(=O)C(=CC)NC(=O)C(C(C)C)NC(=O)C(O)C(C(C)CCCCCCCCCC(=O)CC)NC(=O)C2CCCN2C(=O)C(CC(N)=O)N(C)C(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC1=O
BGC0001953,CC=C1NC(=O)C(CC(N)=O)NC(=O)C(=CC)NC(=O)C(C(C)C)NC(=O)C(O)C(C(C)CCCCCCCCCl)NC(=O)C2CCCN2C(=O)C(CC(N)=O)N(C)C(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC1=O
BGC0002370,CC=C1NC(=O)C(CC)NC(=O)CN2C(=O)C(C)(NC(=O)C(Cc3c[nH]c4cccc(OC)c34)NC(=O)c3csc(n3)C(C)NC(=O)CN(C)C1=O)C(=O)C2O
BGC0002484,CC=C1NC(=O)C(CCC(N)=O)NC(=O)CC(CCCCC)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(C(C)CC)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CCO)NC(=O)C2CC(O)CN2C1=O
BGC0002572,CC=C1NC(=O)C(CO)NC(=O)CC(CCCCC)NC(=O)CNC(=O)C2CC(O)CN2C(=O)C(Cc2ccccc2)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC(=O)C2CC(O)CN2C1=O
BGC0000369,CC=C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(C(C)O)NC(=O)C(NC(=O)C(NC(=O)C(O)C(CCCCCCCCCCCCC)OC2OCC(O)C(OC3OC(O)C(O)C(O)C3NC(C)=O)C2O)C(C)O)C(C)OC(=O)C(CCC(N)=O)NC(=O)C(C(C)OC2OC(COC(C)=O)C(O)C(O)C2OC(C)=O)N(C)C(=O)CNC(=O)C(CCC(N)=O)NC1=O
BGC0000521,CC=C1NC(=O)C(Cc2ccccc2)NC(=O)C(C(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CCC(N)=O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C2CSCC(C(=O)NC(CO)C(=O)O)NC(=O)C(CSCC3NC(=O)C(C(C)CC)NC(=O)C(NC(=O)C(Cc4c[nH]cn4)NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(CO)NC(=O)CNC(=O)CNC(=O)C(N)CCCCN)C(C)C)C(C)CC)C(C)SCC(NC(=O)C(CCC(=O)O)NC(=O)C(Cc4c[nH]cn4)NC3=O)C(=O)NC(CC(N)=O)C(=O)NC(CCSC)C(=O)NC(CC(N)=O)C(=O)N2)NC1=O
BGC0000437,CC=C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CO)NC(=O)C(NC(=O)CC(O)CCCCCCCCC)COC(=O)C(C(O)CCl)NC(=O)C(C(O)C(=O)O)NC1=O
BGC0001822,CC=C1NC(=O)C2CSC(=N2)C2CC(C)N2C(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(O)COC(=O)C(C(C)C)N(C)C(=O)C(C(C)O)NC(=O)C2CCCCN2C1=O
BGC0000993,CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O
BGC0002316,CC=C1NC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(NC(=O)C2CCCC2C(=O)CN)C(C)CC)C(C)SCC2NC(=O)C(NC1=O)C(C)SCC(C(=O)N1CCCC1C(=O)NC1CSCC(C(=O)O)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(=CC)NC(=O)C(CC(N)=O)NC(=O)C(C)NC1=O)NC(=O)C1CC(O)CN1C(=O)C(=CC)NC(=O)CNC(=O)C(Cc1c[nH]c3ccccc13)NC2=O
BGC0002185,CC=CC(=O)C1=C(OC)OC(C)(C=CC=CCC)C1=O
BGC0000038,CC=CC(=O)C1=CC(=C2C=CCCN2)SCC(NC(C)=O)C(=O)O1
BGC0002037,CC=CC(=O)NC1=CC=C2C(O)CN2C(=O)O1
BGC0000171,CC=CC(C)=CC(C)C(=O)CC(O)CC1CC(=O)NC(=O)C1
BGC0000044,CC=CC(C)=CC=CC(C)=CC=CC(C)=CC(C)C=C(C)C(O)C(C)C(C)OC(C)=O
BGC0001093,CC=CC(O)C(C)(C)C1CC=CC=CC=CC(OC)Cc2nc(co2)C(=O)OC(C(C)(C)C(O)C=CC)CC=CC2OC2C=CC=Cc2nc(co2)C(=O)O1
BGC0001749,CC=CC(O)C(O)C=Cc1cccc(O)c1C=O
BGC0002240,CC=CC(O)CC=CC=CC=CC(=O)O
BGC0000161,CC=CC1=CC(=O)C(O)C1O
BGC0000027,CC=CC1=CC2=C(CO1)C(=O)C1(C)OC(=O)C(C(=O)CCCCCCC)C1C2
BGC0000099,CC=CC1=CC2=CC3=C(C(=O)CCCCCCC)C(=O)OC3(C)C(=O)C2=CO1
BGC0000428,CC=CC1=CN2C(=O)c3cc(OC4OC(C)C(NC)C(C)(O)C4O)c(C)c(O)c3NC(O)C2C1
BGC0002035,CC=CC1C(C(=O)c2c(O)c(-c3ccc(O)cc3)c[nH]c2=O)C=C(C)C2CCC(C)CC21
BGC0001255,CC=CC1C=CC2CC(C)CCC2C1(C)C(O)=C1C(=O)C(CO)N(C)C1=O
BGC0000374,CC=CC1CC2C(=O)OC(C)C(NC(=O)C(CC3CC3[N+](=O)[O-])NC(=O)c3ccc(Cl)n3O)C(=O)NC(C(C)c3ccccc3)C(=O)NC(CC3CC3[N+](=O)[O-])C(=O)NC(C(C)c3ccccc3)C(=O)NC(C(C)CC)C(=O)N2C1
BGC0000040,CC=CC1OC(O)(C(C)C(O)C(C)C2OC(=O)C(OC)=CC(C)=CC(C)C(O)C(CC)C(O)C(C)CC(C)=CC=CC2OC)CC(OC2CC(O)C(OC(N)=O)C(C)O2)C1C
BGC0001445,CC=CC1Oc2c(-c3ccccc3)cn(O)c(=O)c2C2C(C)CCCC12
BGC0001296,CC=CC=C1C=CC2=C1C(=O)CCN2
BGC0001404,CC=CC=CC(=O)c1cc(C)c(O)c(C)c1O
BGC0002206,CC=CC=CC1=CC2=C(CO1)C(=O)C(C)(O)C(O)C2
BGC0001738,CC=CC=CC1C(C)=CC2CC(C)CCC2C1(C)C(O)=C1C(=O)C(CO)N(C)C1=O
BGC0001070,CC=CC=CC1OC(O)(C(CC)C(=O)NCC=CC=C(C)C(OC)C(C)C2OC(C=CC=CC=C(C)C(=O)c3c(O)cc[nH]c3=O)C(O)C2O)C(O)C(O)C1(C)C
BGC0002100,CC=CC=CC=CC(=O)NC(C)C(=O)NC(=Cc1c[nH]c2cc(Cl)ccc12)C(=O)C(=O)NC(CC(N)=O)C(=O)O
BGC0000956,CC=CC=CC=CC(=O)NC(CC(=O)NC(C(=O)C1C(=O)NC(=O)C1C)C(C)C)c1ccccc1
BGC0000213,CC=CC=CC=CC=CC=CC(=O)NC1=CC(O)(C=CC=CC=CC=CC(=O)NC2=C(O)CCC2=O)C2OC2C1=O
BGC0001432,CC=CC=CC=CC=CC=CC=CC=CC(=O)N(C)C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)OC1C
BGC0001421,CC=CC=CC=CC=CC=CC=CC=CC(=O)N(C)C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)N2CCCC2C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)OC1C
BGC0001429,CC=CC=CC=CC=CC=CC=CC=CC(=O)N(C)C1C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)OC1C
BGC0001425,CC=CC=CC=CC=CC=CC=CC=CC=CC(=O)N(C)C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)N2CCCC2C(=O)NC(C)C(=O)NC(C(N)=O)CCC(=O)OC1C
BGC0001423,CC=CC=CC=CC=CC=CC=CC=CC=CC(=O)N(C)C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)N2CCCC2C(=O)NC(CCC(N)=O)C(=O)OC1C
BGC0002547,CC=CC=CC=CC=Cc1ccccc1C(CC(=O)O)C1C=CC(=CCC(=O)O)C(C=CC=CC=CC=CC)C1
BGC0000224,CC=CC=Cc1cc2cc3c(c(O)c2c(=O)[nH]1)C1(CC3)C(=O)c2c(O)c3c(c(O)c2C1=O)C(=O)C(OC)=CC3=O
BGC0002066,CC=CCC(C)C(=O)c1c(O)c(OC)c(OC)[nH]c1=O
BGC0001565,CC=CCC(C)C(O)C1C(=O)NC(C(C)O)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
BGC0000334,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
BGC0002230,CC=CCC(C)CC(C)C(=O)c1c(O)c(-c2ccc(O)cc2)c[nH]c1=O
BGC0001091,CC=CCC=C(C)C(O)CCC(C)=CC=C(C)C(O)=C1C(=O)C=C(C(C)CCC=CNC(=O)OC)OC1=O
BGC0001913,CC=CCCCCCC1C=C2C3(CC(=O)O)CC4=C(C(=O)OC4=O)C(C1CC(O)C(=O)CCC=CC)C2(O)OC3=O
BGC0000429,CC=Cc1ccccc1C=CC(=O)NC1C(=O)NC(C)C(=O)NC(C(C)C(=O)O)C(=O)NCC(=O)NC(C(O)c2ccccc2)C(=O)N2CCCC2C(=O)NC(C(O)c2ccc(OC)cc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(O)C(=O)NC(CC(C)C)C(=O)NC(C(O)C(C)C)C(=O)OC1C
BGC0000079,CCC(=CC=CC1C=CC2C(CC)CCC2C1C(=O)c1ccc[nH]1)C1OC(C(C)C(=O)O)CCC1C
BGC0001495,CCC(=O)C(C)C(O)C(C)C=C(C)CC(C)C(O)C(C)C1CC=C(C)CC2(C)OC(O)(CC(=O)O1)C(CC)C2=O
BGC0002454,CCC(=O)C(C)C(O)C(C)CC(C)C1OC(=O)CC2(O)CC=C(C)C(O2)C(C)=CCCCC(OC2CC(OC(N)=O)C(O)C(C)O2)C=CC(C)CC1C
BGC0001521,CCC(=O)C(Cc1ccc(O)c(Cl)c1)NC(=O)C(O)C(C)CC
