Cluster,True SMILES
BGC0001438_Warkmycin_CS2.fasta,COC1CC(OC2C=C(C)C(OC(C)=O)C3(O)C(OC(C)=O)C(O)C4=C(C(=O)c5ccc(C6CC(OC7CC(C)(O)C(OC8CCC(O)C(C)O8)C(C)O7)C(O)C(C)O6)c(O)c5C4=O)C23O)OC(C)C1OC(N)=O
BGC0001439_antibiotic_A2121_1.fasta,COC1=CC(=O)c2c(cc3c(c2O)C(=O)C2(OC4CCC(OC5CCC(O)C(C)O5)C(C)O4)C(=O)C(C(N)=O)=C(O)C(OC4CCC(OC5CCC(OC6CCC(OC7CCC(OC(=O)C(C)(C)C(=O)O)C(C)O7)C(C)O6)C(C)O5)C(C)O4)C2C3)C1=O
BGC0001444_caboxamycin.fasta,O=C(O)c1cccc2oc(-c3ccccc3O)nc12
BGC0001448_Malacidin_B.fasta,CC(C)CCC=CC=CC(=O)NC(C(=O)NC1C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(C(O)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)C(=O)O)C(=O)NC(C(C)C)C(=O)N2CC(C)CC2C(=O)NC1C)C(C)C(=O)O
BGC0001452_Sipanmycin.fasta,CC1=CC=CC(C)=CCC(C)NC(=O)C(CC(C)C)=CC(C)=CC=CC=CC(C)(O)C(OC2OCC(OC3CC(C)(O)C(N(C)C)C(C)O3)C(O)C2N)C=CC=C1
BGC0001458_salinipostin.fasta,CCCCCCCCCCCCCOP1(=O)OCC2COC(=O)C2=C(CCCC)O1
BGC0001459_decaplanin.fasta,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(OC3CC(C)(N)C(O)C(C)O3)c3ccc(cc3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)Oc2ccc(cc2Cl)C1O
BGC0001460_decaplanin.fasta,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(OC3CC(C)(N)C(O)C(C)O3)c3ccc(cc3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)Oc2ccc(cc2Cl)C1O
BGC0001462_avoparcin.fasta,CNC(C(=O)NC1C(=O)NC(c2ccc(O)cc2)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(OC3CC(N)C(O)C(C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(N)C(O)C(C)O2)Oc2ccc(cc2)C1OC1OC(CO)C(O)C(O)C1O)c1ccc(OC2OC(C)C(O)C(O)C2O)cc1
BGC0001463_2_3_4_5_tetrabromopyrrole.fasta,Brc1[nH]c(Br)c(Br)c1Br
BGC0001464_tetrabromopyrrole.fasta,Brc1[nH]c(Br)c(Br)c1Br
BGC0001465_bromopyrroles_bromophenols.fasta,Oc1c(Br)cc(Br)cc1-c1[nH]c(Br)c(Br)c1Br
BGC0001467_Hapalosin.fasta,CCCCCCCC1OC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C1C
BGC0001468_Bicyclomycin.fasta,C=C1CCOC2(C(O)C(C)(O)CO)NC(=O)C1(O)NC2=O
BGC0001469_marthiapeptide_A.fasta,CCC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C2CSC(=N2)c2csc(n2)-c2csc(n2)-c2csc(n2)C(C)NC1=O
BGC0001470_macrobrevin.fasta,CCC(C)C(O)C=CC(C)=CC=CC(C)CC(C)C1CC(O)C(C)C=CC=CC(C)CC=C(C)C(O)C=CCC(O)C(C)C=CC(=O)O1
